1690070000000000,1,Note 1
1695250000000000,1,Note 4
1692750000000000,1,Note 2
1684970000000000,1,Note 3
1687560000000000,1,Note 6
1674950000000000,1,Note 5
1682470000000000,1,Note 10
1679880000000000,1,Note 7
1677540000000000,1,Note 8
1672360000000000,1,Note 9
1667260000000000,1,Note 11
1664670000000000,1,Note 12
1662160000000000,1,Note 13
1659560000000000,1,Note 14
1656980000000000,1,Note 15
1654470000000000,1,Note 16
1651860000000000,1,Note 17
1649380000000000,1,Note 18
1646790000000000,1,Note 19
1697770000000000,1,Note 20
1695250000000000,2,Note 11
1692750000000000,2,Note 12
1690070000000000,2,Note 13
1687560000000000,2,Note 14
1697770000000000,2,Note 15
1695250000000000,3,Note 16
1692750000000000,3,Note 17
1690070000000000,3,Note 18
1687560000000000,3,Note 19
1697770000000000,3,Note 20
1695250000000000,4,Note 21
1692750000000000,4,Note 22
1690070000000000,4,Note 23
1687560000000000,4,Note 24
1697770000000000,4,Note 25
1695250000000000,5,Note 26
1692750000000000,5,Note 27
1690070000000000,5,Note 28
1687560000000000,5,Note 29
1687560000000000,5,Note 30
1732145206223,1,123
1732145209769,1,1222
1732145319161,5,123
1732145487493,1,fafasfa
1732146344003,1,test
1732146359850,1,rararr
1732146371404,1,vcvc